=== 飞船飞行数据记录 ===
开始时间: 2026-01-17 00:40:51
记录间隔: 0.02 秒
飞船初始位置: (-45.86, 5.80, 0.00)
飞船初始速度: (14.17, 4.91, 0.00)
GravityEngine 参数:
  - physToWorldFactor: 1
  - massScale: 1
  - fixedDeltaTime: 0.02
CoreDeflector 数量: 1
  - GravityCore: 位置=(-46.59, 10.45, 0.00), 质量=500, 引导强度=0.12
---
格式: [帧数] [时间] [位置] [速度] [速度大小] [GravityEngine加速度] [CoreDeflector效果] [ShipState缩放] [其他效果]
---
[1] t=67.6302 pos=(-45.295,5.996,0.000) vel=(14.177,4.913,0.000) speed=15.004 gravAcc=(-2.336,8.927,0.000) Core[GravityCore]:dist=4.64,grav=23.202,guidance=0.12,velChange=0.398,accel=19.904,ACTIVE   
[2] t=67.6702 pos=(-44.728,6.193,0.000) vel=(14.188,4.913,0.000) speed=15.014 gravAcc=(-3.443,8.487,0.000) Core[GravityCore]:dist=4.65,grav=23.118,guidance=0.12,velChange=0.425,accel=21.228,ACTIVE   
[3] t=67.7102 pos=(-44.160,6.390,0.000) vel=(14.198,4.914,0.000) speed=15.024 gravAcc=(-4.308,7.667,0.000) Core[GravityCore]:dist=4.74,grav=22.291,guidance=0.12,velChange=0.437,accel=21.862,ACTIVE   
[4] t=67.7502 pos=(-43.592,6.586,0.000) vel=(14.209,4.914,0.000) speed=15.035 gravAcc=(-4.840,6.612,0.000) Core[GravityCore]:dist=4.89,grav=20.872,guidance=0.12,velChange=0.438,accel=21.882,ACTIVE   
[5] t=67.7902 pos=(-43.023,6.783,0.000) vel=(14.220,4.915,0.000) speed=15.046 gravAcc=(-5.035,5.486,0.000) Core[GravityCore]:dist=5.12,grav=19.078,guidance=0.12,velChange=0.429,accel=21.447,ACTIVE   
[6] t=67.8302 pos=(-42.454,6.979,0.000) vel=(14.232,4.915,0.000) speed=15.057 gravAcc=(-4.956,4.420,0.000) Core[GravityCore]:dist=5.40,grav=17.131,guidance=0.12,velChange=0.415,accel=20.741,ACTIVE   
[7] t=67.8502 pos=(-42.169,7.078,0.000) vel=(14.238,4.916,0.000) speed=15.062 gravAcc=(-4.841,3.934,0.000) Core[GravityCore]:dist=5.56,grav=16.155,guidance=0.12,velChange=0.407,accel=20.336,ACTIVE   
[8] t=67.8902 pos=(-41.600,7.274,0.000) vel=(14.250,4.916,0.000) speed=15.074 gravAcc=(-4.513,3.079,0.000) Core[GravityCore]:dist=5.92,grav=14.276,guidance=0.12,velChange=0.390,accel=19.499,ACTIVE   
[9] t=67.9302 pos=(-40.994,7.483,0.000) vel=(14.263,4.917,0.000) speed=15.086 gravAcc=(-4.088,2.345,0.000) Core[GravityCore]:dist=6.34,grav=12.452,guidance=0.12,velChange=0.373,accel=18.644,ACTIVE   
[10] t=67.9702 pos=(-40.459,7.668,0.000) vel=(14.274,4.917,0.000) speed=15.098 gravAcc=(-3.693,1.833,0.000) Core[GravityCore]:dist=6.74,grav=11.021,guidance=0.12,velChange=0.359,accel=17.962,ACTIVE   
[11] t=67.9902 pos=(-40.173,7.766,0.000) vel=(14.281,4.917,0.000) speed=15.104 gravAcc=(-3.485,1.604,0.000) Core[GravityCore]:dist=6.96,grav=10.328,guidance=0.12,velChange=0.353,accel=17.633,ACTIVE   
[12] t=68.0302 pos=(-39.602,7.963,0.000) vel=(14.294,4.917,0.000) speed=15.116 gravAcc=(-3.087,1.227,0.000) Core[GravityCore]:dist=7.42,grav=9.082,guidance=0.12,velChange=0.341,accel=17.049,ACTIVE   
[13] t=68.0702 pos=(-39.030,8.159,0.000) vel=(14.308,4.918,0.000) speed=15.129 gravAcc=(-2.721,0.936,0.000) Core[GravityCore]:dist=7.90,grav=8.008,guidance=0.12,velChange=0.331,accel=16.559,ACTIVE   
[14] t=68.1102 pos=(-38.421,8.368,0.000) vel=(14.323,4.918,0.000) speed=15.143 gravAcc=(-2.371,0.700,0.000) Core[GravityCore]:dist=8.43,grav=7.033,guidance=0.12,velChange=0.323,accel=16.134,ACTIVE   
[15] t=68.1502 pos=(-37.884,8.553,0.000) vel=(14.336,4.918,0.000) speed=15.156 gravAcc=(-2.095,0.540,0.000) Core[GravityCore]:dist=8.91,grav=6.295,guidance=0.12,velChange=0.317,accel=15.828,ACTIVE   
[16] t=68.1702 pos=(-37.597,8.651,0.000) vel=(14.343,4.918,0.000) speed=15.163 gravAcc=(-1.960,0.469,0.000)   
[17] t=68.2102 pos=(-37.023,8.848,0.000) vel=(14.358,4.918,0.000) speed=15.177 gravAcc=(-1.713,0.352,0.000)   
[18] t=68.2502 pos=(-36.448,9.045,0.000) vel=(14.374,4.918,0.000) speed=15.192 gravAcc=(-1.495,0.260,0.000)   
[19] t=68.2902 pos=(-35.873,9.241,0.000) vel=(14.390,4.918,0.000) speed=15.207 gravAcc=(-1.301,0.189,0.000)   
[20] t=68.3302 pos=(-35.297,9.438,0.000) vel=(14.407,4.918,0.000) speed=15.223 gravAcc=(-1.129,0.132,0.000)   
[21] t=68.3502 pos=(-35.009,9.536,0.000) vel=(14.415,4.917,0.000) speed=15.231 gravAcc=(-1.050,0.108,0.000)   
[22] t=68.3902 pos=(-34.432,9.733,0.000) vel=(14.432,4.917,0.000) speed=15.247 gravAcc=(-0.904,0.068,0.000)   
[23] t=68.4302 pos=(-33.818,9.942,0.000) vel=(14.452,4.916,0.000) speed=15.265 gravAcc=(-0.766,0.034,0.000)   
[24] t=68.4702 pos=(-33.276,10.126,0.000) vel=(14.469,4.916,0.000) speed=15.281 gravAcc=(-0.655,0.009,0.000)   
[25] t=68.4902 pos=(-32.987,10.225,0.000) vel=(14.478,4.915,0.000) speed=15.290 gravAcc=(-0.600,-0.002,0.000)   
[26] t=68.5302 pos=(-32.407,10.421,0.000) vel=(14.498,4.915,0.000) speed=15.308 gravAcc=(-0.497,-0.022,0.000)   
[27] t=68.5702 pos=(-31.827,10.618,0.000) vel=(14.518,4.913,0.000) speed=15.327 gravAcc=(-0.403,-0.039,0.000)   
[28] t=68.6102 pos=(-31.209,10.827,0.000) vel=(14.541,4.912,0.000) speed=15.348 gravAcc=(-0.310,-0.054,0.000)   
[29] t=68.6502 pos=(-30.664,11.011,0.000) vel=(14.561,4.911,0.000) speed=15.367 gravAcc=(-0.234,-0.067,0.000)   
[30] t=68.6702 pos=(-30.372,11.109,0.000) vel=(14.572,4.910,0.000) speed=15.377 gravAcc=(-0.195,-0.073,0.000)   
[31] t=68.7102 pos=(-29.789,11.305,0.000) vel=(14.595,4.908,0.000) speed=15.398 gravAcc=(-0.121,-0.084,0.000)   
[32] t=68.7502 pos=(-29.205,11.502,0.000) vel=(14.619,4.906,0.000) speed=15.420 gravAcc=(-0.051,-0.095,0.000)   
[33] t=68.7902 pos=(-28.619,11.698,0.000) vel=(14.644,4.904,0.000) speed=15.443 gravAcc=(0.015,-0.105,0.000)   
[34] t=68.8302 pos=(-28.033,11.894,0.000) vel=(14.669,4.901,0.000) speed=15.466 gravAcc=(0.080,-0.116,0.000)   
[35] t=68.8502 pos=(-27.740,11.992,0.000) vel=(14.683,4.900,0.000) speed=15.478 gravAcc=(0.111,-0.121,0.000)   
[36] t=68.8902 pos=(-27.152,12.188,0.000) vel=(14.710,4.896,0.000) speed=15.503 gravAcc=(0.172,-0.132,0.000)   
[37] t=68.9302 pos=(-26.526,12.396,0.000) vel=(14.740,4.893,0.000) speed=15.531 gravAcc=(0.235,-0.144,0.000)   
[38] t=68.9702 pos=(-25.973,12.579,0.000) vel=(14.768,4.889,0.000) speed=15.556 gravAcc=(0.290,-0.156,0.000)   
[39] t=68.9902 pos=(-25.677,12.677,0.000) vel=(14.783,4.886,0.000) speed=15.570 gravAcc=(0.320,-0.163,0.000)   
[40] t=69.0302 pos=(-25.085,12.872,0.000) vel=(14.814,4.882,0.000) speed=15.598 gravAcc=(0.378,-0.177,0.000)   
[41] t=69.0702 pos=(-24.492,13.068,0.000) vel=(14.847,4.876,0.000) speed=15.627 gravAcc=(0.436,-0.192,0.000)   
[42] t=69.1102 pos=(-23.860,13.275,0.000) vel=(14.883,4.870,0.000) speed=15.660 gravAcc=(0.497,-0.210,0.000)   
[43] t=69.1502 pos=(-23.302,13.457,0.000) vel=(14.917,4.863,0.000) speed=15.690 gravAcc=(0.552,-0.227,0.000)   
[44] t=69.1702 pos=(-23.003,13.554,0.000) vel=(14.935,4.859,0.000) speed=15.706 gravAcc=(0.582,-0.237,0.000)   
[45] t=69.2102 pos=(-22.405,13.749,0.000) vel=(14.974,4.851,0.000) speed=15.740 gravAcc=(0.642,-0.259,0.000)   
[46] t=69.2502 pos=(-21.805,13.942,0.000) vel=(15.013,4.842,0.000) speed=15.775 gravAcc=(0.703,-0.284,0.000)   
[47] t=69.2902 pos=(-21.204,14.136,0.000) vel=(15.055,4.832,0.000) speed=15.812 gravAcc=(0.766,-0.311,0.000)   
[48] t=69.3302 pos=(-20.601,14.329,0.000) vel=(15.099,4.821,0.000) speed=15.850 gravAcc=(0.831,-0.342,0.000)   
[49] t=69.3502 pos=(-20.298,14.425,0.000) vel=(15.121,4.815,0.000) speed=15.869 gravAcc=(0.864,-0.358,0.000)   
[50] t=69.3902 pos=(-19.693,14.618,0.000) vel=(15.168,4.801,0.000) speed=15.910 gravAcc=(0.931,-0.395,0.000)   
[51] t=69.4302 pos=(-19.047,14.821,0.000) vel=(15.220,4.785,0.000) speed=15.955 gravAcc=(1.005,-0.438,0.000)   Capture:dist=19.56,radius=20.10 
[52] t=69.4702 pos=(-18.475,15.001,0.000) vel=(15.269,4.770,0.000) speed=15.996 gravAcc=(1.072,-0.481,0.000)   Capture:dist=19.08,radius=20.10 
[53] t=69.4902 pos=(-18.170,15.096,0.000) vel=(15.295,4.761,0.000) speed=16.019 gravAcc=(1.109,-0.506,0.000)   Capture:dist=18.82,radius=20.10 
[54] t=69.5302 pos=(-17.557,15.286,0.000) vel=(15.351,4.741,0.000) speed=16.066 gravAcc=(1.185,-0.561,0.000)   Capture:dist=18.31,radius=20.10 
[55] t=69.5702 pos=(-16.959,15.470,0.000) vel=(14.559,4.485,0.008) speed=15.234 gravAcc=(1.261,-0.621,0.000)   Capture:dist=17.81,radius=20.10 
[56] t=69.6102 pos=(-16.338,15.660,0.000) vel=(14.623,4.458,0.008) speed=15.288 gravAcc=(1.341,-0.690,0.000)   Capture:dist=17.31,radius=20.10 
[57] t=69.6502 pos=(-15.789,15.827,0.001) vel=(14.683,4.433,0.008) speed=15.337 gravAcc=(1.414,-0.759,0.000)   Capture:dist=16.88,radius=20.10 
[58] t=69.6702 pos=(-15.511,15.912,0.001) vel=(13.912,4.211,-0.001) speed=14.535 gravAcc=(1.452,-0.796,0.000)   Capture:dist=16.66,radius=20.10 
[59] t=69.7102 pos=(-14.953,16.079,0.001) vel=(13.979,4.179,-0.001) speed=14.590 gravAcc=(1.527,-0.877,0.000)   Capture:dist=16.23,radius=20.10 
[60] t=69.7502 pos=(-14.393,16.246,0.001) vel=(14.049,4.144,-0.001) speed=14.648 gravAcc=(1.604,-0.967,0.000)   Capture:dist=15.80,radius=20.10 
[61] t=69.7902 pos=(-13.860,16.404,0.000) vel=(13.363,3.925,-0.008) speed=13.927 gravAcc=(1.677,-1.061,0.000)   Capture:dist=15.41,radius=20.10 
[62] t=69.8302 pos=(-13.324,16.560,0.000) vel=(13.438,3.881,-0.008) speed=13.987 gravAcc=(1.750,-1.164,0.000)   Capture:dist=15.02,radius=20.10 
[63] t=69.8502 pos=(-13.055,16.637,0.000) vel=(13.477,3.858,-0.008) speed=14.018 gravAcc=(1.786,-1.220,0.000)   Capture:dist=14.83,radius=20.10 
[64] t=69.8902 pos=(-12.543,16.784,0.000) vel=(12.839,3.654,0.000) speed=13.349 gravAcc=(1.853,-1.333,0.000)   Capture:dist=14.48,radius=20.10 
[65] t=69.9302 pos=(-11.995,16.938,0.000) vel=(12.926,3.596,0.000) speed=13.417 gravAcc=(1.922,-1.464,0.000)   Capture:dist=14.11,radius=20.10 
[66] t=69.9702 pos=(-11.522,17.070,0.000) vel=(12.329,3.410,0.007) speed=12.792 gravAcc=(1.978,-1.587,0.000)   Capture:dist=13.80,radius=20.10 
[67] t=69.9902 pos=(-11.275,17.137,0.000) vel=(12.372,3.378,0.007) speed=12.825 gravAcc=(2.006,-1.654,0.000)   Capture:dist=13.64,radius=20.10 
[68] t=70.0302 pos=(-10.779,17.271,0.000) vel=(12.459,3.310,0.007) speed=12.892 gravAcc=(2.058,-1.798,0.000)   Capture:dist=13.33,radius=20.10 
[69] t=70.0702 pos=(-10.291,17.400,0.000) vel=(11.913,3.131,-0.001) speed=12.317 gravAcc=(2.103,-1.947,0.000)   Capture:dist=13.04,radius=20.10 
[70] t=70.1102 pos=(-9.783,17.531,0.000) vel=(12.009,3.045,-0.001) speed=12.389 gravAcc=(2.141,-2.114,0.000)   Capture:dist=12.75,radius=20.10 
[71] t=70.1502 pos=(-9.331,17.644,0.000) vel=(12.095,2.964,-0.001) speed=12.453 gravAcc=(2.168,-2.270,0.000)   Capture:dist=12.50,radius=20.10 
[72] t=70.1702 pos=(-9.101,17.701,0.000) vel=(11.545,2.836,-0.006) speed=11.888 gravAcc=(2.178,-2.352,0.000)   Capture:dist=12.38,radius=20.10 
[73] t=70.2102 pos=(-8.637,17.813,0.000) vel=(11.637,2.739,-0.006) speed=11.955 gravAcc=(2.190,-2.523,0.000)   Capture:dist=12.14,radius=20.10 
[74] t=70.2502 pos=(-8.170,17.920,0.000) vel=(11.730,2.636,-0.006) speed=12.023 gravAcc=(2.192,-2.702,0.000)   Capture:dist=11.91,radius=20.10 
[75] t=70.2902 pos=(-7.721,18.021,0.000) vel=(11.266,2.463,0.000) speed=11.532 gravAcc=(2.181,-2.880,0.000)   Capture:dist=11.70,radius=20.10 
[76] t=70.3302 pos=(-7.268,18.117,0.000) vel=(11.358,2.346,0.000) speed=11.597 gravAcc=(2.157,-3.063,0.000)   Capture:dist=11.49,radius=20.10 
[77] t=70.3502 pos=(-7.041,18.164,0.000) vel=(11.403,2.284,0.000) speed=11.629 gravAcc=(2.140,-3.156,0.000)   Capture:dist=11.40,radius=20.10 
[78] t=70.3902 pos=(-6.604,18.251,0.000) vel=(10.974,2.113,0.004) speed=11.176 gravAcc=(2.095,-3.337,0.000)   Capture:dist=11.22,radius=20.10 
[79] t=70.4302 pos=(-6.135,18.337,0.000) vel=(11.067,1.969,0.004) speed=11.241 gravAcc=(2.032,-3.531,0.000)   Capture:dist=11.04,radius=20.10 
[80] t=70.4702 pos=(-5.728,18.408,0.000) vel=(10.667,1.811,0.000) speed=10.820 gravAcc=(1.963,-3.699,0.000)   Capture:dist=10.90,radius=20.10 
[81] t=70.4902 pos=(-5.514,18.444,0.000) vel=(10.708,1.736,0.000) speed=10.848 gravAcc=(1.921,-3.786,0.000)   Capture:dist=10.83,radius=20.10 
[82] t=70.5302 pos=(-5.085,18.510,0.000) vel=(10.788,1.582,0.000) speed=10.903 gravAcc=(1.826,-3.959,0.000)   Capture:dist=10.69,radius=20.10 
[83] t=70.5702 pos=(-4.660,18.570,0.000) vel=(10.422,1.414,-0.004) speed=10.518 gravAcc=(1.717,-4.124,0.000)   Capture:dist=10.57,radius=20.10 
[84] t=70.6102 pos=(-4.216,18.626,0.000) vel=(10.497,1.236,-0.004) speed=10.570 gravAcc=(1.587,-4.290,0.000)   Capture:dist=10.45,radius=20.10 
[85] t=70.6502 pos=(-3.821,18.670,0.000) vel=(10.558,1.073,-0.004) speed=10.613 gravAcc=(1.458,-4.429,0.000)   Capture:dist=10.35,radius=20.10 
[86] t=70.6702 pos=(-3.617,18.690,0.000) vel=(10.187,0.991,0.000) speed=10.235 gravAcc=(1.387,-4.498,0.000)   Capture:dist=10.31,radius=20.10 
[87] t=70.7102 pos=(-3.209,18.726,0.000) vel=(10.243,0.809,0.000) speed=10.275 gravAcc=(1.235,-4.627,0.000)   Capture:dist=10.22,radius=20.10 
[88] t=70.7502 pos=(-2.798,18.755,0.000) vel=(10.293,0.622,0.000) speed=10.312 gravAcc=(1.070,-4.747,0.000)   Capture:dist=10.14,radius=20.10 
[89] t=70.7902 pos=(-2.400,18.777,0.000) vel=(9.972,0.448,0.002) speed=9.982 gravAcc=(0.900,-4.850,0.000)   Capture:dist=10.08,radius=20.10 
[90] t=70.8302 pos=(-2.000,18.791,0.000) vel=(10.008,0.253,0.002) speed=10.012 gravAcc=(0.721,-4.940,0.000)   Capture:dist=10.02,radius=20.10 
[91] t=70.8502 pos=(-1.800,18.795,0.000) vel=(10.024,0.154,0.002) speed=10.025 gravAcc=(0.627,-4.981,0.000)   Capture:dist=9.99,radius=20.10 
[92] t=70.8902 pos=(-1.412,18.798,0.000) vel=(9.720,-0.022,0.003) speed=9.720 gravAcc=(0.441,-5.048,0.000)   Capture:dist=9.95,radius=20.10 
[93] t=70.9302 pos=(-0.998,18.793,0.000) vel=(9.739,-0.237,0.003) speed=9.742 gravAcc=(0.237,-5.104,0.000)   Capture:dist=9.91,radius=20.10 
[94] t=70.9702 pos=(-0.639,18.781,0.000) vel=(9.453,-0.399,0.002) speed=9.462 gravAcc=(0.055,-5.140,0.000)   Capture:dist=9.88,radius=20.10 
[95] t=70.9902 pos=(-0.450,18.772,0.000) vel=(9.455,-0.502,0.002) speed=9.469 gravAcc=(-0.042,-5.153,0.000)   Capture:dist=9.87,radius=20.10 
[96] t=71.0302 pos=(-0.071,18.748,0.000) vel=(9.453,-0.708,0.002) speed=9.480 gravAcc=(-0.238,-5.170,0.000)   Capture:dist=9.85,radius=20.10 
[97] t=71.0702 pos=(0.301,18.716,0.000) vel=(9.181,-0.883,0.001) speed=9.223 gravAcc=(-0.433,-5.172,0.000)   Capture:dist=9.84,radius=20.10 
[98] t=71.1102 pos=(0.691,18.674,0.000) vel=(9.162,-1.102,0.001) speed=9.228 gravAcc=(-0.637,-5.159,0.000)   Capture:dist=9.83,radius=20.10 
[99] t=71.1502 pos=(1.034,18.629,0.000) vel=(9.138,-1.294,0.001) speed=9.229 gravAcc=(-0.816,-5.136,0.000)   Capture:dist=9.83,radius=20.10 
[100] t=71.1702 pos=(1.212,18.602,0.000) vel=(8.889,-1.365,0.001) speed=8.994 gravAcc=(-0.908,-5.120,0.000)   Capture:dist=9.84,radius=20.10 
[101] t=71.2102 pos=(1.567,18.544,0.000) vel=(8.853,-1.568,0.001) speed=8.991 gravAcc=(-1.091,-5.078,-0.001)   Capture:dist=9.84,radius=20.10 
